country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Malawi,34.28131407,32.1954534,30.04100495,28.46310336,27.33353437,26.21692968,26.86389392,27.73232261,27.68349647,28.99412066,29.57756344,27.49865632,26.57919125,26.08760315,25.79021597,25.89157942,25.62643331,25.04645368,24.38597723,23.98966272
Malaysia,20.08248936,20.20701061,20.71475687,21.47776243,22.02534667,22.40934734,22.35288352,22.30529843,22.97140162,23.61404508,23.85901281,24.46262863,25.04264389,25.13161027,27.21290805,26.21568161,28.12748756,29.5522149,30.0482097,30.95483467
Maldives,14.60227632,14.84211452,14.60173457,15.02160751,13.1512948,14.61258976,15.77294266,16.0267247,16.92133742,16.8927714,16.40415961,16.57023264,17.96172036,18.55251408,21.97907812,20.45874748,25.21033608,25.44136668,24.59350985,23.68160855
Mali,19.2681006,19.17685776,19.09267198,18.87791342,18.9372404,19.25878787,19.0194724,19.1049158,19.31674858,19.26381247,18.87513486,18.94179899,19.04303641,18.95228698,18.35776102,18.71159381,18.21443977,18.02465597,18.08466549,18.35572956
Malta,43.35321572,47.60468751,39.54077209,38.91679892,43.73292963,41.97463824,51.99121755,43.35373202,51.58995243,56.71306902,64.01630123,59.03275357,54.32441208,62.61700461,66.79964572,65.69118491,54.92246102,52.15544037,56.81554109,57.57588426
Mauritania,18.69998157,18.71059456,18.76774443,18.66795066,18.74025001,18.77877145,18.89995255,18.69120547,18.64890489,18.80035703,18.73442853,18.91357433,19.00207631,19.17241942,19.11031699,18.98646997,19.11689984,19.31340833,19.28878685,19.37663141
Mauritius,40.5748644,34.98317996,39.21120181,27.15763719,29.04679856,32.28022398,34.32104148,38.25678021,25.72308959,35.94653251,31.78221646,37.55901315,40.01574063,34.60705093,33.74748381,43.60851529,34.90475188,41.56407067,37.57042836,40.83367972
Mexico,21.01581619,22.96898281,22.62200163,23.11654308,23.72218395,24.45859202,24.51879571,25.2045855,26.58969479,28.6144035,28.2843385,34.09948721,31.40196191,34.23659001,35.44745075,36.1061585,34.66695099,37.48757033,34.33256469,34.03590885
Micronesia (Federated States of),53.45301983,52.38585924,50.79990893,51.35826599,53.55138995,55.09951141,55.2324765,54.97653454,55.11278234,55.02014735,54.85512819,56.31974963,56.95500091,56.97851002,59.19706176,57.28310712,59.18877441,60.4620086,61.19217899,60.95613433
Mongolia,47.40585831,47.81553169,47.01034263,50.9984101,53.47194783,55.07486243,55.67020921,56.80562233,58.30006048,57.11077323,56.10494372,55.61892298,56.34905914,56.22701701,55.47438414,54.85876272,56.14286489,54.27190275,52.94402232,51.05156193
